"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-10-01 00:00:01+08:00",1.0,253.68,0.0,0.96,48.64,0.21,1.85,3.41,0.4,119.9811,16.1561,"2024-10-01 00:00:01.380543+08:00","Alaminos"
"2024-10-01 00:00:03+08:00",1.0,243.66,0.0,1.46,33.26,0.29,2.36,3.06,0.77,120.5833,15.15,"2024-10-01 00:00:03.624926+08:00","Angeles City"
"2024-10-01 00:00:05+08:00",2.0,674.25,0.06,13.2,13.59,1.97,20.45,23.47,4.31,121.19,15.6181,"2024-10-01 00:00:05.201865+08:00","Antipolo"
"2024-10-01 00:00:07+08:00",1.0,280.38,0.0,1.67,16.27,0.4,1.4,2.04,0.79,123.5085,12.2285,"2024-10-01 00:00:07.126434+08:00","Bacolod"
"2024-10-01 00:00:09+08:00",1.0,247.0,0.0,2.42,32.9,1.43,2.09,4.41,0.16,120.929,14.459000000000001,"2024-10-01 00:00:09.696339+08:00","Bacoor"
"2024-10-01 00:00:11+08:00",1.0,363.83,0.01,5.91,11.18,0.98,4.78,6.67,3.58,122.8333,10.5333,"2024-10-01 00:00:11.308332+08:00","Bago City"
"2024-10-01 00:00:13+08:00",1.0,257.02,0.0,6.17,36.84,3.73,2.51,2.98,0.35,120.5931,16.4164,"2024-10-01 00:00:14.007565+08:00","Baguio"
"2024-10-01 00:00:15+08:00",1.0,303.75,0.23,3.73,3.8,0.52,4.89,6.5,5.07,123.1228,9.5911,"2024-10-01 00:00:15.940303+08:00","Bais"
"2024-10-01 00:00:18+08:00",1.0,240.33,0.0,1.84,42.92,0.43,3.22,3.94,0.4,120.5361,14.6761,"2024-10-01 00:00:18.196409+08:00","Balanga"
"2024-10-01 00:00:19+08:00",3.0,233.65,0.0,0.54,114.44,0.2,8.49,9.53,0.0,120.5649,18.0554,"2024-10-01 00:00:19.738787+08:00","Batac City"
"2024-10-01 00:00:21+08:00",1.0,263.69,0.0,3.21,30.76,1.62,1.43,1.99,0.82,121.05,13.75,"2024-10-01 00:00:21.843318+08:00","Batangas City"
"2024-10-01 00:00:23+08:00",1.0,297.07,0.08,4.76,9.66,0.84,3.3,3.88,7.79,122.8011,9.3636,"2024-10-01 00:00:24.044696+08:00","Bayawan"
"2024-10-01 00:00:26+08:00",1.0,277.04,0.0,0.66,24.68,7.33,1.84,2.4,0.51,123.7135,13.4083,"2024-10-01 00:00:26.568057+08:00","Baybay"
"2024-10-01 00:00:29+08:00",1.0,310.42,0.34,4.41,0.38,0.93,6.43,7.77,2.31,125.7675,8.7561,"2024-10-01 00:00:29.123881+08:00","Bayugan"
"2024-10-01 00:00:31+08:00",2.0,587.46,0.24,18.34,2.91,2.12,12.57,14.84,4.31,125.0336,11.0725,"2024-10-01 00:00:31.136960+08:00","Bislig"
"2024-10-01 00:00:33+08:00",1.0,310.42,0.01,4.93,29.68,3.25,2.84,3.99,1.58,121.0807,14.3427,"2024-10-01 00:00:33.201128+08:00","Biñan"
"2024-10-01 00:00:35+08:00",1.0,260.35,0.0,4.54,13.59,1.48,2.55,2.99,1.0,124.0055,11.0517,"2024-10-01 00:00:35.415106+08:00","Bogo"
"2024-10-01 00:00:37+08:00",1.0,226.97,0.03,1.52,5.99,0.29,0.99,1.38,0.28,125.4319,11.6081,"2024-10-01 00:00:37.600795+08:00","Borongan"
"2024-10-01 00:00:39+08:00",1.0,347.14,0.14,4.5,0.53,0.86,5.88,7.31,2.41,125.5436,8.9492,"2024-10-01 00:00:39.466877+08:00","Butuan"
"2024-10-01 00:00:41+08:00",1.0,313.76,0.0,3.6,4.87,0.5,3.29,3.86,0.73,125.5344,9.1236,"2024-10-01 00:00:41.866719+08:00","Cabadbaran"
"2024-10-01 00:00:44+08:00",2.0,801.09,0.31,16.28,5.63,2.06,22.83,26.54,3.36,120.9667,15.4833,"2024-10-01 00:00:44.314348+08:00","Cabanatuan City"
"2024-10-01 00:00:46+08:00",1.0,310.42,0.01,4.93,29.68,3.25,2.84,3.99,1.58,121.1262,14.2726,"2024-10-01 00:00:46.634294+08:00","Cabuyao"
"2024-10-01 00:00:48+08:00",1.0,277.04,0.0,2.23,15.91,1.06,1.71,2.52,1.09,123.2856,10.9506,"2024-10-01 00:00:49.085933+08:00","Cadiz"
"2024-10-01 00:00:51+08:00",1.0,400.54,0.01,7.8,8.23,1.24,5.59,7.34,3.74,124.6472,8.4822,"2024-10-01 00:00:51.535984+08:00","Cagayan de Oro"
"2024-10-01 00:00:52+08:00",1.0,257.02,0.0,1.25,35.41,0.84,2.01,2.54,0.52,120.8133,13.9324,"2024-10-01 00:00:52.794285+08:00","Calaca"
"2024-10-01 00:00:55+08:00",1.0,310.42,0.01,4.93,29.68,3.25,2.84,3.99,1.58,121.1653,14.2117,"2024-10-01 00:00:55.407371+08:00","Calamba"
"2024-10-01 00:00:56+08:00",1.0,257.02,0.01,3.13,25.39,1.86,1.18,1.59,0.27,121.1803,13.4117,"2024-10-01 00:00:56.757234+08:00","Calapan"
"2024-10-01 00:00:58+08:00",1.0,267.03,0.0,3.56,14.48,4.17,3.56,3.87,0.38,124.6,12.0667,"2024-10-01 00:00:58.184350+08:00","Calbayog City"
"2024-10-01 00:01:00+08:00",1.0,267.03,0.0,6.51,33.62,2.0,3.42,7.77,0.98,120.9667,14.65,"2024-10-01 00:01:00.110865+08:00","Caloocan City"
"2024-10-01 00:01:01+08:00",1.0,273.71,0.0,4.2,46.49,2.03,3.06,3.39,0.12,120.4517,17.1947,"2024-10-01 00:01:01.568197+08:00","Candon"
"2024-10-01 00:01:03+08:00",1.0,453.95,0.5,8.82,4.96,1.36,9.45,10.94,7.35,123.1964,10.3864,"2024-10-01 00:01:03.383321+08:00","Canlaon"
"2024-10-01 00:01:04+08:00",1.0,267.03,0.02,4.03,10.91,1.52,2.3,4.54,2.85,123.6402,10.1061,"2024-10-01 00:01:04.858485+08:00","Carcar"
"2024-10-01 00:01:06+08:00",1.0,310.42,0.01,4.93,29.68,3.25,2.84,3.99,1.58,121.0576,14.3132,"2024-10-01 00:01:06.417803+08:00","Carmona"
"2024-10-01 00:01:08+08:00",1.0,257.02,0.0,1.82,20.56,0.51,1.03,1.33,0.54,124.8861,11.7753,"2024-10-01 00:01:08.136682+08:00","Catbalogan"
"2024-10-01 00:01:10+08:00",1.0,303.75,0.0,3.13,42.56,0.61,3.11,3.69,2.25,121.7725,16.9347,"2024-10-01 00:01:10.562022+08:00","Cauayan"
"2024-10-01 00:01:13+08:00",1.0,247.0,0.0,2.42,32.9,1.43,2.09,4.41,0.16,120.9169,14.4825,"2024-10-01 00:01:13.257535+08:00","Cavite City"
"2024-10-01 00:01:15+08:00",1.0,337.12,0.06,7.97,9.03,3.55,4.99,7.56,2.41,123.8907,10.3167,"2024-10-01 00:01:15.531708+08:00","Cebu City"
