"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-08-01 00:00:00+08:00",2.0,131.92,0.0,0.31,44.56,0.28,6.97,26.82,0.03,"Alaminos"
"2025-08-01 00:00:03+08:00",1.0,133.71,0.0,0.25,47.63,0.23,5.36,16.55,0.1,"Angeles City"
"2025-08-01 00:00:04+08:00",1.0,176.49,0.0,2.25,43.27,0.82,5.61,12.23,0.92,"Antipolo"
"2025-08-01 00:00:05+08:00",1.0,242.26,0.43,5.31,11.58,0.96,8.1,14.36,1.42,"Bacolod"
"2025-08-01 00:00:07+08:00",1.0,132.8,0.0,0.49,46.66,0.23,3.56,8.72,0.39,"Bacoor"
"2025-08-01 00:00:10+08:00",1.0,78.81,0.0,0.22,26.11,0.13,2.54,7.1,0.11,"Bago City"
"2025-08-01 00:00:12+08:00",1.0,148.3,0.0,0.89,43.33,0.63,6.29,17.61,0.25,"Baguio"
"2025-08-01 00:00:14+08:00",1.0,84.81,0.0,0.53,25.71,0.11,1.7,3.67,0.19,"Bais"
"2025-08-01 00:00:17+08:00",1.0,130.0,0.0,0.23,47.56,0.21,4.68,13.77,0.11,"Balanga"
"2025-08-01 00:00:18+08:00",1.0,139.38,0.0,1.93,40.89,1.36,7.02,19.4,0.26,"Batac City"
"2025-08-01 00:00:20+08:00",1.0,123.69,0.0,0.64,42.39,0.19,2.37,4.91,0.34,"Batangas City"
"2025-08-01 00:00:23+08:00",1.0,99.6,0.05,0.97,21.16,0.17,2.55,5.22,0.4,"Bayawan"
"2025-08-01 00:00:25+08:00",1.0,100.33,0.0,0.83,29.75,0.33,2.19,6.63,0.47,"Baybay"
"2025-08-01 00:00:27+08:00",2.0,399.82,1.14,9.2,2.79,0.96,22.47,25.04,3.85,"Bayugan"
"2025-08-01 00:00:29+08:00",1.0,108.09,0.0,2.87,25.6,1.12,2.3,3.76,1.03,"Bislig"
"2025-08-01 00:00:31+08:00",1.0,140.35,0.0,0.81,45.28,0.21,2.78,5.58,0.72,"Biñan"
"2025-08-01 00:00:33+08:00",1.0,161.81,0.09,4.33,14.77,0.98,4.95,8.19,1.4,"Bogo"
"2025-08-01 00:00:35+08:00",2.0,370.25,0.01,15.53,23.63,2.24,15.26,17.81,3.69,"Borongan"
"2025-08-01 00:00:37+08:00",3.0,428.83,1.85,8.41,0.62,0.71,26.91,29.82,3.01,"Butuan"
"2025-08-01 00:00:40+08:00",3.0,431.77,1.53,10.82,1.12,1.3,26.56,29.7,5.71,"Cabadbaran"
"2025-08-01 00:00:42+08:00",1.0,136.92,0.0,0.59,47.33,0.41,4.95,13.79,0.18,"Cabanatuan City"
"2025-08-01 00:00:44+08:00",1.0,140.35,0.0,0.81,45.28,0.21,2.78,5.58,0.72,"Cabuyao"
"2025-08-01 00:00:45+08:00",1.0,115.09,0.05,1.62,19.87,0.31,3.6,7.61,0.68,"Cadiz"
"2025-08-01 00:00:48+08:00",1.0,195.07,0.01,4.54,21.52,0.57,9.29,11.53,3.56,"Cagayan de Oro"
"2025-08-01 00:00:50+08:00",1.0,126.25,0.0,0.44,45.21,0.17,2.72,6.05,0.3,"Calaca"
"2025-08-01 00:00:52+08:00",1.0,140.35,0.0,0.81,45.28,0.21,2.78,5.58,0.72,"Calamba"
"2025-08-01 00:00:53+08:00",1.0,119.59,0.0,0.52,42.25,0.18,2.38,5.23,0.28,"Calapan"
"2025-08-01 00:00:56+08:00",1.0,212.54,0.01,8.3,22.72,2.91,7.08,11.53,5.49,"Calbayog City"
"2025-08-01 00:00:58+08:00",1.0,133.37,0.0,0.5,46.99,0.27,3.97,10.22,0.37,"Caloocan City"
"2025-08-01 00:00:59+08:00",1.0,154.72,0.0,1.83,40.86,1.24,5.94,16.04,0.46,"Candon"
"2025-08-01 00:01:01+08:00",1.0,79.61,0.0,0.25,27.45,0.13,2.49,6.54,0.11,"Canlaon"
"2025-08-01 00:01:03+08:00",1.0,81.1,0.0,0.47,27.03,0.17,1.3,2.37,0.19,"Carcar"
"2025-08-01 00:01:05+08:00",1.0,140.35,0.0,0.81,45.28,0.21,2.78,5.58,0.72,"Carmona"
"2025-08-01 00:01:06+08:00",1.0,200.01,0.0,8.95,24.7,3.61,6.59,9.3,5.53,"Catbalogan"
"2025-08-01 00:01:08+08:00",1.0,373.19,0.41,8.06,21.56,1.52,8.94,11.24,3.94,"Cauayan"
"2025-08-01 00:01:10+08:00",1.0,132.8,0.0,0.49,46.66,0.23,3.56,8.72,0.39,"Cavite City"
"2025-08-01 00:01:12+08:00",1.0,95.49,0.01,1.04,23.47,0.26,1.95,3.41,0.38,"Cebu City"
"2025-08-01 00:01:13+08:00",1.0,139.63,0.0,0.78,46.38,0.34,3.43,8.06,0.63,"City of Marikina"
"2025-08-01 00:01:15+08:00",1.0,242.26,0.43,5.31,11.58,0.96,8.1,14.36,1.42,"City of Masbate"
"2025-08-01 00:01:18+08:00",1.0,78.84,0.0,0.27,24.6,0.14,2.35,7.57,0.15,"City of Passi"
"2025-08-01 00:01:19+08:00",1.0,130.47,0.0,2.58,22.33,0.7,3.48,8.49,0.94,"City of Sorsogon"
"2025-08-01 00:01:22+08:00",1.0,74.21,0.0,0.26,22.92,0.1,1.22,3.23,0.09,"Cotabato"
"2025-08-01 00:01:24+08:00",1.0,302.19,0.72,5.45,18.56,1.31,6.5,7.77,3.12,"Dagupan"
"2025-08-01 00:01:25+08:00",1.0,94.54,0.01,1.09,23.1,0.29,1.88,3.36,0.39,"Danao"
"2025-08-01 00:01:26+08:00",1.0,95.49,0.01,1.04,23.47,0.26,1.95,3.41,0.38,"Dapitan"
"2025-08-01 00:01:29+08:00",1.0,132.22,0.0,0.49,46.32,0.18,3.16,7.22,0.42,"Dasmariñas"
"2025-08-01 00:01:31+08:00",1.0,285.87,0.28,9.23,14.84,1.26,6.87,8.74,5.95,"Davao"
"2025-08-01 00:01:33+08:00",1.0,122.67,0.0,2.64,23.79,0.45,2.31,3.89,1.97,"Digos"
"2025-08-01 00:01:34+08:00",1.0,144.28,0.17,2.91,15.24,0.59,3.33,5.32,2.65,"Dipolog"
"2025-08-01 00:01:37+08:00",1.0,148.48,0.17,3.06,15.28,0.33,3.81,5.67,1.52,"Dumaguete"
"2025-08-01 00:01:39+08:00",1.0,142.25,0.01,2.72,22.62,0.36,5.31,7.07,2.22,"El Salvador"
"2025-08-01 00:01:41+08:00",1.0,147.74,0.09,2.81,14.97,0.43,4.86,8.67,1.11,"Escalante"
"2025-08-01 00:01:42+08:00",1.0,135.93,0.0,0.56,47.33,0.38,4.76,13.1,0.24,"Gapan"
"2025-08-01 00:01:45+08:00",1.0,71.96,0.0,0.25,23.0,0.12,0.99,2.61,0.02,"General Santos"
"2025-08-01 00:01:47+08:00",1.0,132.22,0.0,0.49,46.32,0.18,3.16,7.22,0.42,"General Trias"
"2025-08-01 00:01:49+08:00",3.0,395.81,0.62,10.64,16.68,1.15,26.88,30.55,8.2,"Gingoog City"
"2025-08-01 00:01:51+08:00",1.0,79.07,0.0,0.21,28.4,0.12,2.81,7.4,0.06,"Himamaylan"
"2025-08-01 00:01:53+08:00",1.0,258.88,0.0,4.7,26.89,0.88,4.24,5.4,1.49,"Ilagan"
"2025-08-01 00:01:55+08:00",1.0,76.16,0.0,0.23,24.48,0.06,1.01,2.35,0.11,"Iligan City"
"2025-08-01 00:01:57+08:00",1.0,75.48,0.0,0.11,23.87,0.11,2.81,9.09,0.04,"Iloilo City"
"2025-08-01 00:01:59+08:00",1.0,132.8,0.0,0.49,46.66,0.23,3.56,8.72,0.39,"Imus"
"2025-08-01 00:02:01+08:00",1.0,99.5,0.0,0.71,30.64,0.28,2.13,6.27,0.39,"Iriga City"
"2025-08-01 00:02:03+08:00",1.0,78.94,0.0,0.21,27.25,0.13,2.68,7.25,0.09,"Isabela"
"2025-08-01 00:02:06+08:00",1.0,80.91,0.0,0.31,27.69,0.12,2.61,6.74,0.1,"Kabankalan"
"2025-08-01 00:02:08+08:00",1.0,155.29,0.0,4.04,23.92,0.63,3.0,4.28,3.13,"Kidapawan"
"2025-08-01 00:02:10+08:00",1.0,71.01,0.0,0.17,23.98,0.08,1.09,2.8,0.01,"Koronadal"
"2025-08-01 00:02:13+08:00",1.0,78.81,0.0,0.22,26.11,0.13,2.54,7.1,0.11,"La Carlota"
"2025-08-01 00:02:15+08:00",1.0,72.28,0.0,0.37,22.98,0.17,0.94,2.59,0.02,"Lamitan"
"2025-08-01 00:02:17+08:00",1.0,139.38,0.0,1.93,40.89,1.36,7.02,19.4,0.26,"Laoag"
